series,learning_episode,raw_value,three_point_smoothed_value
"MAPPO (strict 1+5, stochastic train)",409.0,424536.4375,426826.21875
"MAPPO (strict 1+5, stochastic train)",411.0,425985.21875,424317.5729166667
"MAPPO (strict 1+5, stochastic train)",413.0,422431.0625,426177.4375
"MAPPO (strict 1+5, stochastic train)",415.0,430116.03125,426954.8645833333
"MAPPO (strict 1+5, stochastic train)",417.0,428317.5,428890.2916666667
"MAPPO (strict 1+5, stochastic train)",419.0,428237.34375,429790.46875
"MAPPO (strict 1+5, stochastic train)",421.0,432816.5625,429174.3333333333
"MAPPO (strict 1+5, stochastic train)",423.0,426469.09375,428750.5729166667
"MAPPO (strict 1+5, stochastic train)",425.0,426966.0625,429193.4166666667
"MAPPO (strict 1+5, stochastic train)",427.0,434145.09375,429156.4270833333
"MAPPO (strict 1+5, stochastic train)",429.0,426358.125,430467.5625
"MAPPO (strict 1+5, stochastic train)",431.0,430899.46875,429748.4479166667
"MAPPO (strict 1+5, stochastic train)",433.0,431987.75,432152.125
"MAPPO (strict 1+5, stochastic train)",435.0,433569.15625,432251.9375
"MAPPO (strict 1+5, stochastic train)",437.0,431198.90625,432651.75
"MAPPO (strict 1+5, stochastic train)",439.0,433187.1875,432092.59375
"MAPPO (strict 1+5, stochastic train)",441.0,431891.6875,432882.1979166667
"MAPPO (strict 1+5, stochastic train)",443.0,433567.71875,433585.1145833333
"MAPPO (strict 1+5, stochastic train)",445.0,435295.9375,435172.0104166667
"MAPPO (strict 1+5, stochastic train)",447.0,436652.375,433980.8125
"MAPPO (strict 1+5, stochastic train)",449.0,429994.125,433230.2291666667
"MAPPO (strict 1+5, stochastic train)",451.0,433044.1875,433708.5729166667
"MAPPO (strict 1+5, stochastic train)",453.0,438087.40625,434461.1770833333
"MAPPO (strict 1+5, stochastic train)",455.0,432251.9375,436028.9895833333
"MAPPO (strict 1+5, stochastic train)",457.0,437747.625,434267.09375
"MAPPO (strict 1+5, stochastic train)",459.0,432801.71875,431974.9270833333
"MAPPO (strict 1+5, stochastic train)",461.0,425375.4375,431359.2083333333
"MAPPO (strict 1+5, stochastic train)",463.0,435900.46875,431639.34375
"MAPPO (strict 1+5, stochastic train)",465.0,433642.125,433437.1145833333
"MAPPO (strict 1+5, stochastic train)",467.0,430768.75,431460.59375
"MAPPO (strict 1+5, stochastic train)",469.0,429970.90625,430463.0729166667
"MAPPO (strict 1+5, stochastic train)",471.0,430649.5625,430683.1458333333
"MAPPO (strict 1+5, stochastic train)",473.0,431428.96875,433681.8645833333
"MAPPO (strict 1+5, stochastic train)",475.0,438967.0625,434677.84375
"MAPPO (strict 1+5, stochastic train)",477.0,433637.5,435675.9479166667
"MAPPO (strict 1+5, stochastic train)",479.0,434423.28125,433980.84375
"MAPPO (strict 1+5, stochastic train)",481.0,433881.75,432051.3020833333
"MAPPO (strict 1+5, stochastic train)",483.0,427848.875,430227.9479166667
"MAPPO (strict 1+5, stochastic train)",485.0,428953.21875,427726.7083333333
"MAPPO (strict 1+5, stochastic train)",487.0,426378.03125,430159.5104166667
"MAPPO (strict 1+5, stochastic train)",489.0,435147.28125,430679.75
"MAPPO (strict 1+5, stochastic train)",491.0,430513.9375,432904.78125
"MAPPO (strict 1+5, stochastic train)",493.0,433053.125,433293.6875
"MAPPO (strict 1+5, stochastic train)",495.0,436314.0,435228.0625
"MAPPO (strict 1+5, stochastic train)",497.0,436317.0625,436649.4583333333
"MAPPO (strict 1+5, stochastic train)",499.0,437317.3125,436585.6041666667
"MAPPO (strict 1+5, stochastic train)",501.0,436122.4375,435708.84375
"MAPPO (strict 1+5, stochastic train)",503.0,433686.78125,434197.4791666667
"MAPPO (strict 1+5, stochastic train)",505.0,432783.21875,433709.7395833333
"MAPPO (strict 1+5, stochastic train)",507.0,434659.21875,434095.3854166667
"MAPPO (strict 1+5, stochastic train)",509.0,434843.71875,435173.4270833333
"MAPPO (strict 1+5, stochastic train)",511.0,436017.34375,436455.0625
"MAPPO (strict 1+5, stochastic train)",513.0,438504.125,437325.46875
"MAPPO (strict 1+5, stochastic train)",515.0,437454.9375,437694.46875
"MAPPO (strict 1+5, stochastic train)",517.0,437124.34375,437267.53125
"MAPPO (strict 1+5, stochastic train)",519.0,437223.3125,436732.7604166667
"MAPPO (strict 1+5, stochastic train)",521.0,435850.625,437281.53125
"MAPPO (strict 1+5, stochastic train)",523.0,438770.65625,438227.2604166667
"MAPPO (strict 1+5, stochastic train)",525.0,440060.5,439794.7395833333
"MAPPO (strict 1+5, stochastic train)",527.0,440553.0625,441398.6458333333
"MAPPO (strict 1+5, stochastic train)",529.0,443582.375,441874.75
"MAPPO (strict 1+5, stochastic train)",531.0,441488.8125,440337.3958333333
"MAPPO (strict 1+5, stochastic train)",533.0,435941.0,438459.6145833333
"MAPPO (strict 1+5, stochastic train)",535.0,437949.03125,437294.3333333333
"MAPPO (strict 1+5, stochastic train)",537.0,437992.96875,438238.1770833333
"MAPPO (strict 1+5, stochastic train)",539.0,438772.53125,439850.84375
"MAPPO (strict 1+5, stochastic train)",541.0,442787.03125,442879.6979166667
"MAPPO (strict 1+5, stochastic train)",543.0,447079.53125,445793.3958333333
"MAPPO (strict 1+5, stochastic train)",545.0,447513.625,445904.1354166667
"MAPPO (strict 1+5, stochastic train)",547.0,443119.25,444275.5416666667
"MAPPO (strict 1+5, stochastic train)",549.0,442193.75,441425.4895833333
"MAPPO (strict 1+5, stochastic train)",551.0,438963.46875,441271.1875
"MAPPO (strict 1+5, stochastic train)",553.0,442656.34375,440359.375
"MAPPO (strict 1+5, stochastic train)",555.0,439458.3125,442299.2395833333
"MAPPO (strict 1+5, stochastic train)",557.0,444783.0625,444021.0416666667
"MAPPO (strict 1+5, stochastic train)",559.0,447821.75,445981.7291666667
"MAPPO (strict 1+5, stochastic train)",561.0,445340.375,445929.9791666667
"MAPPO (strict 1+5, stochastic train)",563.0,444627.8125,445601.2395833333
"MAPPO (strict 1+5, stochastic train)",565.0,446835.53125,445578.5104166667
"MAPPO (strict 1+5, stochastic train)",567.0,445272.1875,446536.3854166667
"MAPPO (strict 1+5, stochastic train)",569.0,447501.4375,446607.8645833333
"MAPPO (strict 1+5, stochastic train)",571.0,447049.96875,447604.2083333333
"MAPPO (strict 1+5, stochastic train)",573.0,448261.21875,447469.1458333333
"MAPPO (strict 1+5, stochastic train)",575.0,447096.25,447923.6979166667
"MAPPO (strict 1+5, stochastic train)",577.0,448413.625,447688.59375
"MAPPO (strict 1+5, stochastic train)",579.0,447555.90625,447570.7708333333
"MAPPO (strict 1+5, stochastic train)",581.0,446742.78125,446654.7291666667
"MAPPO (strict 1+5, stochastic train)",583.0,445665.5,446162.1354166667
"MAPPO (strict 1+5, stochastic train)",585.0,446078.125,445568.1875
"MAPPO (strict 1+5, stochastic train)",587.0,444960.9375,445536.8645833333
"MAPPO (strict 1+5, stochastic train)",589.0,445571.53125,443957.6354166667
"MAPPO (strict 1+5, stochastic train)",591.0,441340.4375,443734.2291666667
